Distanza,Tempo di esecuzione (s),User time (seconds),System time (seconds),Percent of CPU this job got (%),Elapsed (wall clock) time (s),Average shared text size (kbytes),Average unshared data size (kbytes),Average stack size (kbytes),Average total size (kbytes),Maximum resident set size (kbytes),Average resident set size (kbytes),Major (requiring I/O) page faults,Minor (reclaiming a frame) page faults,Voluntary context switches,Involuntary context switches,Swaps,File system inputs,File system outputs,Socket messages sent,Socket messages received,Signals delivered,Page size (bytes)
5,0.7632542170000107,1.56,0.03,153,1.04,0,0,0,0,51976,0,57,6556,4215,28,0,9432,0,0,0,0,4096
5,0.889423230999995,1.55,0.05,143,1.12,0,0,0,0,51800,0,55,6561,4183,146,0,9200,0,0,0,0,4096
5,1.3943038320000056,1.55,0.03,97,1.63,0,0,0,0,51828,0,55,7078,4185,19,0,9200,0,0,0,0,4096
5,1.413561166000008,1.46,0.07,91,1.68,0,0,0,0,51812,0,55,7068,4185,205,0,9200,0,0,0,0,4096
5,0.5606290160000071,1.50,0.02,206,0.74,0,0,0,0,51976,0,55,6563,4185,31,0,9200,0,0,0,0,4096
5,0.6036465840000034,1.47,0.03,187,0.8,0,0,0,0,52084,0,55,6568,4184,705,0,9200,0,0,0,0,4096
5,0.6523578209999954,1.48,0.05,177,0.86,0,0,0,0,52184,0,55,6566,4185,677,0,9200,0,0,0,0,4096
5,0.5880954060000079,1.50,0.01,194,0.78,0,0,0,0,52000,0,55,6557,4185,22,0,9200,0,0,0,0,4096
5,0.6077055770000044,1.48,0.02,186,0.8,0,0,0,0,51880,0,55,7080,4185,708,0,9200,0,0,0,0,4096
5,0.6076850560000082,1.49,0.01,184,0.81,0,0,0,0,51864,0,55,7077,4185,713,0,9200,0,0,0,0,4096
5,0.5500580369999994,1.47,0.05,208,0.73,0,0,0,0,51792,0,55,6559,4186,27,0,9200,0,0,0,0,4096
5,0.6335940700000009,1.48,0.04,181,0.84,0,0,0,0,52076,0,55,6566,4184,713,0,9200,0,0,0,0,4096
5,0.5421451200000007,1.46,0.05,214,0.7,0,0,0,0,51988,0,55,6559,4185,26,0,9200,0,0,0,0,4096
5,0.5764557440000004,1.47,0.02,193,0.77,0,0,0,0,51976,0,55,6562,4186,718,0,9200,0,0,0,0,4096
5,0.6030779069999852,1.47,0.02,187,0.8,0,0,0,0,51880,0,55,6566,4184,725,0,9200,0,0,0,0,4096
5,0.6058004310000058,1.45,0.04,183,0.82,0,0,0,0,51792,0,55,7068,4186,663,0,9200,0,0,0,0,4096
5,0.6224129390000144,1.46,0.05,182,0.83,0,0,0,0,52036,0,55,6561,4185,709,0,9200,0,0,0,0,4096
5,0.6829204969999978,1.45,0.05,170,0.89,0,0,0,0,51780,0,55,6562,4185,709,0,9200,0,0,0,0,4096
5,0.7202774040000008,1.45,0.05,159,0.94,0,0,0,0,51996,0,55,6560,4183,682,0,9200,0,0,0,0,4096
5,0.6502159020000136,1.47,0.05,180,0.84,0,0,0,0,51992,0,55,6050,4184,39,0,9200,0,0,0,0,4096
5,0.7347963969999967,1.45,0.05,154,0.97,0,0,0,0,51980,0,55,6563,4184,757,0,9200,0,0,0,0,4096
5,0.7127848359999973,1.47,0.06,164,0.93,0,0,0,0,51976,0,55,7074,4185,14,0,9200,0,0,0,0,4096
5,0.7665250480000054,1.45,0.06,152,0.99,0,0,0,0,52028,0,55,6560,4184,683,0,9200,0,0,0,0,4096
5,0.7807842720000053,1.47,0.04,148,1.01,0,0,0,0,51896,0,55,6571,4184,712,0,9200,0,0,0,0,4096
5,0.7986944799999947,1.49,0.02,137,1.1,0,0,0,0,52008,0,55,6564,4185,693,0,9200,0,0,0,0,4096
5,0.6783093709999832,1.48,0.04,171,0.88,0,0,0,0,51984,0,55,6558,4184,19,0,9200,0,0,0,0,4096
5,0.9049211929999785,1.50,0.08,139,1.13,0,0,0,0,51744,0,55,7071,4187,195,0,9200,0,0,0,0,4096
5,1.197586862999998,1.53,0.03,106,1.47,0,0,0,0,51740,0,55,7072,4184,159,0,9200,0,0,0,0,4096
5,0.8097130879999952,1.45,0.08,151,1.02,0,0,0,0,52020,0,55,6564,4184,470,0,9200,0,0,0,0,4096
5,0.7412256319999813,1.45,0.06,158,0.95,0,0,0,0,51932,0,55,6565,4184,694,0,9200,0,0,0,0,4096
10,1.8025238959999967,2.47,0.06,124,2.03,0,0,0,0,155332,0,55,7664,4185,694,0,9200,0,0,0,0,4096
10,1.6835609799999816,2.41,0.07,131,1.89,0,0,0,0,155192,0,55,7663,4186,740,0,9200,0,0,0,0,4096
10,1.841017294000011,2.61,0.06,129,2.06,0,0,0,0,155368,0,55,7664,4184,24,0,9200,0,0,0,0,4096
10,2.0021753649999994,2.58,0.09,120,2.21,0,0,0,0,155556,0,55,7158,4185,151,0,9200,0,0,0,0,4096
10,1.6463771890000203,2.34,0.04,123,1.93,0,0,0,0,155184,0,55,7659,4185,678,0,9200,0,0,0,0,4096
10,1.7483619280000084,2.53,0.04,133,1.93,0,0,0,0,155200,0,55,8169,4186,678,0,9200,0,0,0,0,4096
10,1.728735654000019,2.51,0.03,130,1.95,0,0,0,0,155320,0,55,7668,4185,727,0,9200,0,0,0,0,4096
10,1.8286691620000113,2.60,0.05,133,2.0,0,0,0,0,155140,0,55,7653,4183,20,0,9200,0,0,0,0,4096
10,1.9553559009999901,2.48,0.16,121,2.18,0,0,0,0,155024,0,55,7659,4185,176,0,9200,0,0,0,0,4096
10,1.694128587999984,2.46,0.05,134,1.87,0,0,0,0,155520,0,55,7155,4186,33,0,9200,0,0,0,0,4096
10,1.8607818379999799,2.55,0.11,128,2.07,0,0,0,0,155480,0,55,7656,4184,29,0,9200,0,0,0,0,4096
10,2.3281567590000236,2.93,0.10,117,2.58,0,0,0,0,155036,0,55,8169,4183,467,0,9200,0,0,0,0,4096
10,4.034498240999994,4.20,0.13,99,4.35,0,0,0,0,155100,0,55,8171,4182,100,0,9200,0,0,0,0,4096
10,2.83999378499999,3.13,0.15,97,3.35,0,0,0,0,155160,0,55,7660,4184,325,0,9200,0,0,0,0,4096
10,2.5079335559999834,3.15,0.06,116,2.74,0,0,0,0,155188,0,55,7660,4186,202,0,9200,0,0,0,0,4096
10,3.1087542760000133,3.75,0.03,109,3.43,0,0,0,0,155188,0,55,7657,4183,15,0,9200,0,0,0,0,4096
